Date,Store,Sales
2023-01-01,Store_1,42
2023-01-01,Store_2,80
2023-01-01,Store_3,127
2023-01-01,Store_4,120
2023-01-01,Store_5,62
2023-01-02,Store_1,87
2023-01-02,Store_2,115
2023-01-02,Store_3,162
2023-01-02,Store_4,177
2023-01-02,Store_5,115
2023-01-03,Store_1,84
2023-01-03,Store_2,122
2023-01-03,Store_3,205
2023-01-03,Store_4,125
2023-01-03,Store_5,82
2023-01-04,Store_1,56
2023-01-04,Store_2,108
2023-01-04,Store_3,185
2023-01-04,Store_4,177
2023-01-04,Store_5,89
2023-01-05,Store_1,83
2023-01-05,Store_2,129
2023-01-05,Store_3,171
2023-01-05,Store_4,164
2023-01-05,Store_5,124
2023-01-06,Store_1,62
2023-01-06,Store_2,126
2023-01-06,Store_3,174
2023-01-06,Store_4,191
2023-01-06,Store_5,114
2023-01-07,Store_1,56
2023-01-07,Store_2,96
2023-01-07,Store_3,180
2023-01-07,Store_4,165
2023-01-07,Store_5,69
2023-01-08,Store_1,45
2023-01-08,Store_2,49
2023-01-08,Store_3,136
2023-01-08,Store_4,119
2023-01-08,Store_5,84
2023-01-09,Store_1,64
2023-01-09,Store_2,89
2023-01-09,Store_3,186
2023-01-09,Store_4,159
2023-01-09,Store_5,96
2023-01-10,Store_1,53
2023-01-10,Store_2,112
2023-01-10,Store_3,180
2023-01-10,Store_4,124
2023-01-10,Store_5,116
2023-01-11,Store_1,53
2023-01-11,Store_2,115
2023-01-11,Store_3,189
2023-01-11,Store_4,163
2023-01-11,Store_5,73
2023-01-12,Store_1,91
2023-01-12,Store_2,110
2023-01-12,Store_3,209
2023-01-12,Store_4,166
2023-01-12,Store_5,96
2023-01-13,Store_1,70
2023-01-13,Store_2,82
2023-01-13,Store_3,177
2023-01-13,Store_4,187
2023-01-13,Store_5,92
2023-01-14,Store_1,52
2023-01-14,Store_2,84
2023-01-14,Store_3,129
2023-01-14,Store_4,135
2023-01-14,Store_5,87
2023-01-15,Store_1,48
2023-01-15,Store_2,109
2023-01-15,Store_3,125
2023-01-15,Store_4,93
2023-01-15,Store_5,80
2023-01-16,Store_1,71
2023-01-16,Store_2,104
2023-01-16,Store_3,183
2023-01-16,Store_4,159
2023-01-16,Store_5,111
2023-01-17,Store_1,41
2023-01-17,Store_2,110
2023-01-17,Store_3,157
2023-01-17,Store_4,178
2023-01-17,Store_5,117
2023-01-18,Store_1,73
2023-01-18,Store_2,119
2023-01-18,Store_3,211
2023-01-18,Store_4,175
2023-01-18,Store_5,92
2023-01-19,Store_1,71
2023-01-19,Store_2,116
2023-01-19,Store_3,142
2023-01-19,Store_4,155
2023-01-19,Store_5,121
2023-01-20,Store_1,63
2023-01-20,Store_2,112
2023-01-20,Store_3,187
2023-01-20,Store_4,153
2023-01-20,Store_5,105
2023-01-21,Store_1,56
2023-01-21,Store_2,139
2023-01-21,Store_3,164
2023-01-21,Store_4,148
2023-01-21,Store_5,113
2023-01-22,Store_1,39
2023-01-22,Store_2,78
2023-01-22,Store_3,121
2023-01-22,Store_4,99
2023-01-22,Store_5,86
2023-01-23,Store_1,67
2023-01-23,Store_2,118
2023-01-23,Store_3,174
2023-01-23,Store_4,150
2023-01-23,Store_5,66
2023-01-24,Store_1,63
2023-01-24,Store_2,93
2023-01-24,Store_3,186
2023-01-24,Store_4,152
2023-01-24,Store_5,125
2023-01-25,Store_1,96
2023-01-25,Store_2,142
2023-01-25,Store_3,200
2023-01-25,Store_4,204
2023-01-25,Store_5,105
2023-01-26,Store_1,82
2023-01-26,Store_2,116
2023-01-26,Store_3,187
2023-01-26,Store_4,157
2023-01-26,Store_5,87
2023-01-27,Store_1,71
2023-01-27,Store_2,123
2023-01-27,Store_3,153
2023-01-27,Store_4,178
2023-01-27,Store_5,97
2023-01-28,Store_1,87
2023-01-28,Store_2,94
2023-01-28,Store_3,200
2023-01-28,Store_4,164
2023-01-28,Store_5,104
2023-01-29,Store_1,69
2023-01-29,Store_2,77
2023-01-29,Store_3,131
2023-01-29,Store_4,96
2023-01-29,Store_5,86
2023-01-30,Store_1,59
2023-01-30,Store_2,81
2023-01-30,Store_3,179
2023-01-30,Store_4,194
2023-01-30,Store_5,98
2023-01-31,Store_1,88
2023-01-31,Store_2,128
2023-01-31,Store_3,201
2023-01-31,Store_4,134
2023-01-31,Store_5,152
2023-02-01,Store_1,110
2023-02-01,Store_2,125
2023-02-01,Store_3,171
2023-02-01,Store_4,168
2023-02-01,Store_5,136
2023-02-02,Store_1,74
2023-02-02,Store_2,128
2023-02-02,Store_3,172
2023-02-02,Store_4,142
2023-02-02,Store_5,72
2023-02-03,Store_1,118
2023-02-03,Store_2,128
2023-02-03,Store_3,181
2023-02-03,Store_4,153
2023-02-03,Store_5,85
2023-02-04,Store_1,63
2023-02-04,Store_2,108
2023-02-04,Store_3,150
2023-02-04,Store_4,132
2023-02-04,Store_5,92
2023-02-05,Store_1,57
2023-02-05,Store_2,75
2023-02-05,Store_3,115
2023-02-05,Store_4,115
2023-02-05,Store_5,57
2023-02-06,Store_1,79
2023-02-06,Store_2,109
